אוגנדה	Uganda	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
איי הבתולה הבריטיים	British Virgin Islands	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
איי הבתולה של ארצות הברית	U.S. Virgin Islands	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
איי טרקס וקייקוס	Turks and Caicos Islands	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
איי מרשל	Marshall Islands	נגיפים טרופיים	נגיפים טרופיים: ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
איי קוק	Cook Islands	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
איי קיימאן	Cayman Islands	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
איי שלמה	Solomon Islands	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
אינדונזיה	Indonesia	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
אינדונזיה	Indonesia	מלריה	ביקור - דחייה ל 12 חודשים, עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	כל האזורים של אינדונזיה המזרחית(פרובינציות Maluku, North Maluku, East Nusa Tenggara, Papua, ומערב Papua), כולל העיר Labuan Bajo ואיי Komodo באזור Nusa Tengarra. אזורים כפריים ב Kalimantan (Borneo), West Nusa Tenggara (כולל האיים של Lombok), Sulawesi, and Sumatra. סיכון נמוך באזורים כפריים של Java כולל Pangandaran, Sukabumi, and Ujung Kulong. אין סיכון בערים Jakarta ו Ubud אזורי נופש ב Bali ו- Java, האיים Gili Islands ו- Thousand Islands (Pulau Seribu).
אירן	Iran	נגיף קורונה (MERS)	ביקור - דחייה לשבועיים	
אל סלבדור	El Salvador	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
אנגווילה	Anguilla	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
אנגולה	Angola	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
אנטיגואה וברבודה	Antigua and Barbuda	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
אפגניסטן	Afghanistan	מלריה	ביקור - דחייה ל 12 חודשים, עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	מאפריל עד דצמבר באזורים נמוכים מ- 2500m
אקוודור	Ecuador	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
אקוודור	Ecuador	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון בכל האזורים הנמוכים מ 1500m בפרובינציות: Cotopaxi, Esmeraldas, Morona Santiago, Orellana, Pastaza, and Sucumbios. אין סיכון בערים Guayaquil and Quito ו- Galápagos Islands.
ארגנטינה	Argentine	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
ארובה	Aruba	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
אריתריאה	Eritrea	איידס	ביקור/שהייה - דחייה ל-3 חודשים	
אריתריאה	Eritrea	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	אין סיכון ב Asmara.
אתיופיה	Ethiopia	איידס	ביקור/שהייה - דחייה ל-3 חודשים	
אתיופיה	Ethiopia	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון בכל האזורים הנמוכים מ-2500 מ' (כולל אדיס-אבבה).
באהמס	Bahamas	איידס	ביקור/שהייה - דחייה ל-3 חודשים.	
בהוטאן	Bhutan	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
בוליביה	Bolivia	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
בוליביה	Bolivia	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	כל האזורים נמוכים מ- 2500m .אין סיכון בעיר La Paz
בונייר	Bonaire	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
בוצואנה	Botswana	איידס	ביקור/שהייה - דחייה ל-3 חודשים	
בוצואנה	Botswana	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון במחוזות/תתי מחוזות של Bobirwa, Boteti, Chobe (כולל Chobe National Park), Ghanzi, Mahalapaye, Ngamiland (Ngami), Northeast (כולל Francistown), Okavango, Serowe Palapye and Tutume אין סיכון ב Gaborone.
בורונדי	Burundi	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
בורקינה פאסו	Burkina Faso	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
בחריין	Bahrain	נגיף קורונה (MERS)	ביקור - דחייה לשבועיים	
בליז	Belize	איידס	ביקור/שהייה - דחייה ל-3 חודשים	
בליז	Belize	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	אין סיכון ב- Belize City ואזורים תיירותיים באיים.
בנגלדש	Bangladesh	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
בנגלדש	Bangladesh	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון במחוזות Chittagong Hill Tract (Bandarban, Rangamati, ו- Khagrachari); ומחוזות של Chattogram (Chittagong), Cox’s Bazar, Habiganj, Kurigram, Moulvibazar, Mymensingh, Netrakona, Sherpur, Sunamganj, ו- Sylhet. אין סיכון בעיר Dhaka.
בנין	Benin	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
ברבדוס	Barbados	איידס	ביקור /שהייה - דחייה ל-3 חודשים.	
ברוניי דארוסלאם	Brunei Darussalam	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
ברזיל	Brazil	נגיפים טרופיים	ביקור - דחייה ל 4 שבועות	כגון: נגיפים זיקה, דנגה, צ'יקונגוניה
ברזיל	Brazil	מלריה	ביקור - דחייה ל 12 חודשים עפ"י אזורים. שהייה מעל 6 חודשים - דחייה ל 3 שנים, עפ"י אזורים.	סיכון בכל האזורים במדינות: Acre, Amapa, Amazonas, Rondonia, Roraima, Maranhão, Mato Grosso, ו- Para. אין סיכון בערים: Brasilia, Rio de Janeiro, São Paulo, São Luis, Cuiabá, Belém וב- Iguaçu Falls.
גאנה	Ghana	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
גבון	Gabon	מלריה	ביקור - דחייה ל 12 חודשים. שהייה מעל 6 חודשים - דחייה ל 3 שנים.	
