# Source: https://www.mdais.org/blood-donation/information-drug-blood — columns: Hebrew trade name | English trade name | generic | guideline text | criterion
אבודרט	AVODART	DUTASTERIDE	מותר להתרים 6 חודשים לאחר סיום הטיפול	טיפול בהגדלת הפרוסטטה שפירה
אביאנה	EVIANA	ESTRADIOL, NORETHISTERONE	מותר להתרים	טיפול הורמונלי
אביטרן	ABITREN	DICLOFENAC	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אביטרן	ABITREN	DICLOFENAC	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
אביטרקסט	ABITREXATE	METHOTREXATE	אסור להתרים	טיפול במחלות ממאירות ואוטואימוניות
אביליפיי	ABILIFY	ARIPIPRAZOLE	מותר להתרים. יש לוודא שתורם במצב נפשי תקין ובא לתרום מרצונו	טיפול בסכיזופרניה ובעיות נפשיות שונות
אבקמול	AVCAMOL	PARACETAMOL	מותר להתרים	נגד כאבים
אבקמול	AVCAMOL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
אברול	ABROL	PARACETAMOL	מותר להתרים	נגד כאבים
אברול	ABROL	PARACETAMOL	מותר להתרים לאחר החלמה	נגד חום
אג'ובי	AJOVY	FREMANEZUMAB	מותר להתרים אם ללא כאבי ראש ביום התרומה ועברו 24 שעות ממועד הזריקה	טיפול במיגרנה
אגיולקס	AGIOLAX	ISPAGHULA, SENNA	מותר להתרים	נגד עצירות
אגיוקור	AGIOCUR	ISPAGHULA	מותר להתרים	נגד עצירות
אגיסטן לכסניות	AGISTEN LOZENGES	CLOTRIMAZOLE	מותר להתרים לאחר ההחלמה	טיפול בפטרת בפה
אגיסרק	AGISERC	BETAHISTINE	מותר להתרים אם אין סחרחורת ביום התרומה	טיפול במחלת מנייר
אגיסרק	AGISERC	BETAHISTINE	מותר להתרים לאחר החלמה	טיפול בורטיגו
אגנוקסטון	AGNUCASTON	HERB. EXTRACTS	מותר להתרים	טיפול בתסמונת קדם- וסתית
אדויל	ADVIL	IBUPROFEN	מותר להתרים. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד כאבים
אדויל	ADVIL	IBUPROFEN	אסור להתרים אם דלקת חריפה, או דלקת כרונית פעילה	טיפול בדלקת
אדויל	ADVIL	IBUPROFEN	מותר להתרים לאחר החלמה. לא לטרומבוציטים, אם קיבל במשך 3 ימים אחרונים	נגד חום וצינון
