# part2
דלקת קרום הלב, פריקרדיטיס	Pericarditis	מותר להתרים 3 חודשים לאחר החלמה מלאה	
דלקת קרום המוח, מנינגיטיס	Meningitis	מותר להתרים  4 שבועות לאחר החלמה	
דלקת ריאות	Pneumonia	מותר להתרים חודש לאחר החלמה	
דלקת רירית הרחם, אנדומטריטיס	Endometritis	מותר להתרים 3 ימים לאחר סיום טיפול באנטיביוטיקה והחלמה מלאה	
דלקת שד, מסטיטיס	Mastitis	מותר להתרים 3 ימים לאחר סיום טיפול באנטיביוטיקה והחלמה מלאה	
דלקת שריר הלב, מיוקרדיטיס	Myocarditis	מותר להתרים שנה לאחר ההחלמה מלאה	
דם בשתן, המטוריה	Hematuria	לפנות לסמכות רפואית	
דפיקות לב, פלפיטיציות	Palpitations	יש להתייעץ עם סמכות רפואית	
דקירה (חדירה לא סטרילית לעור של מכשיר, מחט משומשת או ציוד הנגועים בדם או נוזלי גוף זר)	Used needle stick injury	דחייה ל-4 חודשים	
דרמטומיוסיטיס	Dermatomyositis	אסור להתרים	
דרמטיטיס הרפטיפורמית	Dermatitis Herpetiformis	אסור להתרים	
הגדלה שפירה של הערמונית (פרוסטטה)	Benign Prostatic Hypertrophy	מותר להתרים אם לא מטופל בפרו-קיור, אבודרט, דואודרט	
הומוציסטאינמיה	Homocysteinemia	מותר להתרים	
הומוציסטינוריה	Homocysteinuria	מותר להתרים	
הזרעה מלאכותית מתורם זר	Artificial Insemination	מותר להתרים 3 חודשים לאחר הטיפול, בתנאי שאינה בהריון	
הזרקת בוטוקס	(Botulinum Toxin ( A	מותר להתרים 24 שעות לאחר ההזרקה-אם בוצעה במכון מאושר. אחרת - דחייה ל-4 חודשים	
הזרקת תרופות ללא מרשם רופא	Injection of non prescribed drugs	אסור להתרים	
החדרת עירוי (תרגיל)	Intravenous insertion	אסור להתרים במהלך 24 שעות לאחר החדרת עירוי או וונפלון	מתייחס לתרגול בלבד
הידרונפרוזיס	Hydronephrosis	מותר להתרים אם התורם אסימפתומטי, תפקודי כליות תקנים ואין עדות לזיהום	
הידרוצפלוס (עם/בלי שנט)	Hydrocephalus	מותר להתרים אם תוקן ואין שנט	התקנת שנט - אסור להתרים
היסטיוציטוזיס	Histiocytosis	לפנות לסמכות רפואית	
היצרות מסתם אאורטלי, אאורטיק סטנוזיס	Aortic Stenosis	אסור להתרים	
הכנסת קטטר עצמית	Self- Catheterization	אסור להתרים	
הכשת עקרב או נחש	Snake or scorpion bite	מותר להתרים לאחר החלמה	לאחר טיפול ע''י נסיוב ספציפי יש להמתין  4 חודשים
המוגלובין לגברים	Hemoglobin male	13-18gr/dl	למעט תרומה עצמית
המוגלובין לנשים	Hemoglobin female	12-16gr/dl	למעט תרומה עצמית
המוכרומאטוזיס	Hemochromatosis	לפנות לסמכות רפואית	
המופיליה	Hemophilia	אסור להתרים	
הנקה	Breast feeding	מותר להתרים	בתנאי שעברו 6 חודשים ממועד הלידה
הסרת קעקוע בלייזר	Tattoo removal with laser	מותר להתרים	
הסרת שיער בלייזר, אינפרא אדום	Hair removal with laser, IPL	מותר להתרים	
הפסקת הריון, 	Pregnancy termination	עד שבוע 20 - מותר להתרים 6 שבועות לאחר גרידה/הפלה	
הפסקת הריון, הלה	Pregnancy termination	לאחר שבוע 20 - מותר להתרים לאחר 6 חודשים	
הפריה חוץ-גופית	IVF	מותר להתרים חודש לפני הדיקור (שאיבת ביציות)	
הפרעות בבלוטת יותרת הכליה	Adrenal Disorders	אסור להתרים	
הפרעות בקשת האוטיסטית(אוטיזם)	Autism Spectrum Disorder	מותר להתרים בתנאי שהתורם מבין את תהליך התרומה, עונה לתשאול וחותם על ההצהרה בעצמו.	"איש צוות מד""א יסייע במידה ונדרשת עזרה במילוי השאלון"
הפרעות קצב	Arrhythmias	אסור להתרים	ל SVT,  APB,  VPB ראה הסעיפים המתאימים
הצטננות,  כאב גרון, שיעול, ליחה	Cough, Sputum,Colds, Fever,  Sore Throat	מותר להתרים 3 ימים לאחר החלמה	
הרגשה כללית	General feeling	אסור להתרים אם ההרגשה הכללית לא טובה במשך 3 ימים  שקדמו לתרומה	
הרחבת כלי-דם כלילי, כולל הכנסת סטנט (צנתור עם סטנט)	(Angioplasty (Coronary	אסור להתרים במשך 12 חודשים.	לאחר שנה ניתן להתרים אם התורם אסימפטומטי, אין הגבלה בפעילות גופנית, אינו נוטל תרופות קרדיאליות
הריון	Pregnancy	אסור להתרים	מלבד במצבים מיוחדים, בהוראת הרופא המטפל ובאישור סמכות רפואית.
הרפס באיברי המין	Genital Herpes	זיהום ראשוני: מותר להתרים חודש לאחר החלמה. זיהום חוזר: מותר להתרים שבוע לאחר החלמה	
השתלת איברים מתורם זר	Tissue and Organ Recipient	אסור להתרים	
השתלת עור מתורם זר	Skin  graft	דחייה ל-4 חודשים	
השתלת עצם מתורם זר	Bone graft	דחייה ל-4 חודשים	
השתלת קרום מוח ממקור אנושי	Dura mater graft recipients	אסור להתרים	
השתלת קרנית ממקור אנושי	Corneal graft recipients	אסור להתרים	
השתלת רקמות/איברים בתרומה עצמית	Tissue and Organ Recipient Autologus	מותר להתרים	
השתלת שיניים	Teeth implantation	מותר להתרים חודש לפחות לאחר ההשתלה, אם יש החלמה מלאה (אין חשד לזיהום)	
השתלת תאי אב (מוח עצם)	Stem cell (bone marrow) transplantation	אסור להתרים	
התדלדלות העצם, אוסטיאופורוזיס	Osteoporosis	מותר להתרים	
התעלפות	Fainting	מותר להתרים אם מדובר באירוע בודד ואין עדות למחלות רקע	
התקפי פעימות על- חדריות	PSVT	מותר להתרים אם התורם אסימפטומטי, ללא טיפול תרופתי, ללא בעיות לב בעבר	באישור סמכות רפואית
התקפי פעימות על- חדריות, לאחר צריבה (אבלציה)	PSVT + ablation	דחייה לשנה לאחר אבלציה מוצלחת	
התרככות הסחוס	Chondromalacia	מותר להתרים	
זאבת אדמנתית מערכתית, לופוס	(Systemic Lupus Erythematosis (SLE	אסור להתרים	
זיבה, גונוראה	Gonorrhea	מותר להתרים שנה לאחר החלמה	
זיהום פטרייתי, פטרת	Fungal Infection	מותר להתרים אם הזיהום מקומי ,כולל פטריות בציפורניים, נרתיק. אסור להתרים אם פטרת מפושטת או יש מעורבות סיסטמית	
זיהומים מיקובקטריאלים	Mycobacterial Infections	מותר להתרים שנתיים לאחר החלמה	
חום	High Temperature	מעל - 37.40C אסור להתרים	
חזה אוויר, פנוימוטורקס	Pneumothorax	מותר להתרים לאחר החלמה ובהעדר מחלת רקע	
חזרת	Mumps	מותר להתרים לאחר החלמה מלאה. דחייה ל - 4 שבועות לאחר החשיפה אם התורם לא מחוסן, או שלא חלה בעבר	
חיידקים בדם, בקטרמיה	Bacteremia	מותר להתרים חודש לאחר החלמה וסיום טיפול אנטיביוטי	
חיסון  פעיל חי - כללי	Immunization  - live	מותר להתרים 4 שבועות לאחר החיסון	
חיסון COVID19	COVID19 vaccine	חיסון מבוסס mRNA או מומת - מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון COVID19	COVID19 vaccine	חיסון חי מוחלש - מותר להתרים 4 שבועות לאחר החיסון	
חיסון COVID19	COVID19 vaccine	"חיסון שלא אושר ע""י משרד הבריאות או שסוג החיסון אינו ידוע - מותר להתרים 12 חודשים לאחר החיסון."	
חיסון MMRV, MMR - פעיל חי	MMR, MMRV vaccine	מותר להתרים 4 שבועות לאחר החיסון	
חיסון אבעבועות רוח - פעיל חי	Varicella virus live attenuated vaccine	מותר להתרים 4 שבועות לאחר החיסון	
חיסון אבעבועות הקוף	Monkeypox Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון אבעבועות שחורות - פעיל חי	Smallpox Vaccine	יש להתייעץ עם סמכות רפואית	
חיסון אדמת - פעיל חי	Rubella Vaccine	מותר להתרים 4 שבועות לאחר החיסון(כולל MMR)	
חיסון אלרגיה	Allergy Desensitization	מותר להתרים  3 ימים לאחר החיסון	
חיסון דבר - פעיל לא חי	Plague Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון דיפטריה - פעיל לא חי	Diphtheria Toxoid	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון דלקת המוח יפני, אנצפליטיס - פעיל לא חי	Japanese Encephalitis Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון המופילוס - פעיל לא חי	Haemophilus b Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון הרפס זוסטר - פעיל חי	Varicella Zoster Vaccine	מותר להתרים 4 שבועות לאחר החיסון	
חיסון חזרת - פעיל חי	Mumps Vaccine	מותר להתרים 4 שבועות לאחר החיסון	
חיסון חצבת - פעיל חי	(Measles Virus Live Vaccine (rubeola	מותר להתרים 4 שבועות לאחר החיסון	
חיסון טטנוס - סביל (אימונוגלובולין)	Tetanus Immunoglobulin	מותר להתרים 4 חודשים לאחר החיסון	ניתן בהזרקה לשריר, למניעת מחלה  אם יש חשד לחשיפה. ניתן יחד עם חיסון פעיל.
חיסון טטנוס - פעיל לא חי	Tetanus Toxoid	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	יש לבדוק את הסיבה לחיסון
חיסון טיפוס הבטן - פעיל	Typhoid Vaccine	בכדורים: מותר להתרים לאחר 4 שבועות. בזריקה: מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון כולירה - פעיל לא חי	Cholera Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון	
חיסון כלבת - פעיל לא חי	(Rabies Vaccine (sterilized rabies virus	אסור להתרים במשך שנה - אם ניתן בעקבות חשיפה.        מותר להתרים - אם ניתן לא בעקבות חשיפה והתורם חש בטוב.	
חיסון מחלת ליים - פעיל לא חי	(Lyme Disease Vaccine (recombinant	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון מנינגוקוק (דלקת קרום המוח)- פעיל לא חי	(Meningococcal Vaccine (N. Meningitis	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון נגד פפילומה וירוס (HPV) למניעת סרטן צוואר הרחם - פעיל לא חי	HPV Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון סביל - כללי , אימונוגלובולין	Immunization - passive, immunoglobulin	מותר להתרים  4 חודשים לאחר החיסון	ניתן בהזרקה לשריר,  אם יש חשד לחשיפה
חיסון פוליו, שיתוק ילדים - פעיל  לא חי	Polio Vaccine non live	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	ניתן בזריקה
חיסון פוליו, שיתוק ילדים - פעיל חי	Polio Vaccine live	מותר להתרים 4 שבועות לאחר החיסון	ניתן דרך הפה
חיסון פניאומוקוק, דלקת ראות - פעיל לא חי	Pneumococcal Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	Pneumovax
חיסון פעיל לא חי  - כללי	Immunization  - non live	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון צהבת A - פעיל לא חי	(Hepatitis A Vaccine (inactivated	ללא חשיפה – מותר, בעקבות חשיפה – דחייה ל- 6 חודשים	
חיסון צהבת B -  פעיל	(Hepatitis B Vaccine (Recombinant	ללא חשיפה – לאחר 7 ימים, בעקבות חשיפה – דחייה ל-3 חודשים	
חיסון צהבת B - סביל(אימונוגלובולין)	(Hepatitis B Immune Globulin (HBIG	בעקבות מגע עם חולה בדלקת כבד- דחייה ל-4  חודשים	
"חיסון קדחת ""רוקי מאונטיין"" - פעיל לא חי"	Rocky Mountain Spotted Fever Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון קדחת צהובה - פעיל חי	Yellow Fever Vaccine	מותר להתרים 4 שבועות לאחר החיסון	
חיסון קדם-טיפוס הבטן, פרה טיפואיד - פעיל לא חי	Parathyphoid Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון שחפת(BCG)	BCG	מותר להתרים 4 שבועות לאחר חיסון נגד שחפת.  אסור להתרים אם ניתן כטיפול לסרטן	
חיסון שעלת - פעיל לא חי	Pertussis Vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חיסון שפעת - פעיל חי  ולא חי	Flu vaccine	מותר להתרים מיד או בחלוף הסימנים בעקבות החיסון.	
חלבון בשתן, פרוטאינוריה	Proteinuria	מותר להתרים אם תפקודי כליות תקינים ובהעדר מחלות רקע	
חסם מלא בצרור ההולכה השמאלי	(Left Bundle Brach Block (LBBB	מותר להתרים אם התורם אסימפטומטי ובאישור הרופא המטפל	
חסר B12	B12 deficiency	מותר להתרים אם אין מחלות רקע והמוגלובין תקין	
חסר G6PD	G6PD Deficiency	מותר להתרים	
חסר MTHFR	MTHFR Deficiency	מותר להתרים אם לא היו אירועים טרומבוטים (קרישי דם) חוזרים בעבר	
חסר ברזל	Iron Deficiency	מותר להתרים  3 חודשים לאחר סיום הטיפול, המוגלובין תקין והסיבה לחסר אינה פוסלת לתרומה	ניתן להתרים אם החסר תוקן, נוטל טיפול מניעתי והסיבה לחסר אינה פוסלת תרומה
חסר דם - אנמיה	Anemias	אסור להתרים אם התורם נמצא בתהליך בירור הסיבה לחסר הדם ועד ל-3 חודשים לאחר סיום הטיפול בברזל.	מותר להתרים אם הסיבה לחסר דם תוקנה, לא נוטל טיפול מונע ורמת ההמוגלובין תקינה
חסר פקטור קרישה	Coagulation Factor Deficiency	לפנות לסמכות רפואית	
חצבת	(Measles (Rubeola	מותר להתרים לאחר החלמה מלאה. דחייה ל - 4 שבועות לאחר החשיפה אם התורם לא מחוסן, או שלא חלה בעבר	
חשיפת ריריות לדם	Mucous membrane exposure to blood	דחייה ל- 4 חודשים	
טוברקולין - בדיקת מנטו	Tuberculosis Skin / Mantoux Test	מותר להתרים אחרי 48 שעות, אם תקין ולא בוצע בעקבות חשד לחשיפה/מחלה	אם בוצע בעקבות חשיפה/חשד למחלה יש לחכות לסיום הבירור ותוצאה תקינה
טוקסופלסמוזיס	Toxoplasmosis	מותר להתרים 6 חודשים לאחר החלמה	
טחורים	Hemorrhoids	מותר להתרים אם אין דמם, זיהום, כאבים	
טיסה	Flying	אסור להתרים 12 שעות לפני טיסה	טיסה פנים ארצית מחייבת אישור מסמכות רפואית
טיפול באנטיביוטיקה	Antibiotic treatment	מותר להתרים לאחר סיום הטיפול והחלמה מלאה בהתאם למחלה	
טיפול בהורמון גדילה	Growth hormone recipients	ממקור אנושי - אסור להתרים. סינטטי/רקומביננטי - מותר להתרים	"מותר להתרים אם טופל בארץ או בארה""ב ולאחר שנת 1990"
טיפול בחוסמי ביטא	Beta-blockers treatment	טיפול במחלת לב - אסור להתרים. טיפול ביתר ל.ד - ניתן להתרים במידה ודופק מעל 70.	
טיפול ביוד רדיואקטיבי (לפעילות יתר של בלוטת התריס)	Radioactive iodine treatment	מותר להתרים 6 חודשים לאחר סיום הטיפול	יש לבדוק מה הסיבה לקבלת הטיפול
טיפול שורש	Root canal treatment	מותר להתרים 7 ימים לאחר הטיפול, אינו במעקב ולא מקבל אנטיביוטיקה	
טיפול שיניים כירורגי או עקירה כירורגית	Teeth surgery	מותר להתרים לאחר 7 ימים לפחות, לאחר הוצאת תפרים והחלמה מלאה	
"טיפול/הסרת  נגע ע""י חנקן נוזלי"	Cryosurgery	מותר להתרים 3 ימים לאחר החלמה וחזרה לפעילות מלאה	אם סיבת הניתוח אינה פוסלת מתרומה
טיפוס הבהרות	Typhus	מותר להתרים 6 חודשים לאחר החלמה	
טיפוס הבטן	Typhoid Fever	מותר להתרים חודש לאחר החלמה	
טכיקרדיה עלייתית (SVT)	(Supraventricular Tachycardia (SVT	מותר להתרים אם עברה שנה אחרי אבלציה מוצלחת, התורם אסימפטומטי ואינו במעקב	
טפילים	Parasitic Infections	מותר להתרים אם הזיהום במעיים, שבוע לאחר סיום טיפול והחלמה	
טריכינוזיס	Trichinosis	מותר להתרים 6 חודשים לאחר החלמה	
טרשת נפוצה	Multiple Sclerosis	אסור להתרים	
יבלות	Warts	מותר להתרים אם אין עדות לזיהום	
יבלות באיברי המין, פפילומה	(Venereal Warts (Human Papilloma Virus	מותר להתרים שבוע לאחר החלמה	
יחסי מין בסיכון גבוה עם שותף/ה חדש/ה או שותפים מרובים	high risk sexual activity with a new partner or multiple partner	מותר להתרים אם חלפו 3 חודשים ממגע מיני אחרון.          מותר להתרים בטרם חלפו 3 חודשים מקיום היחסים, אם ענה בחיוב ל סעיף 2.18A בחלק ב' בשאלון	סיכון גבוה: יחסים אנאליים ו/או תחת השפעת סמים,כגון:אמפטמין(MDMA), קריסטל-מט(טי, טינה),קטמין, GHB/GBL (ג'י,ג'ינה), עם שותף/ה חדש/ה או שותפים מרובים.
יחסי מין עבור תשלום	Received payment for sexual relationship	אסור להתרים	
יחסי מין עם מי שסעיפים 2.5-2.17 בחלק ב' בשאלון חלים עליו	Sexual contacts with people mentioned in sections 2.5-2.17 of donor questionnary	דחייה ל-3 חודשים	
כיב הפה, אפטות	Aphthous Ulcers, Canker Sores	מותר להתרים אם לא כרוני ויש נגע בודד	
כיב קיבה, כיב תריסריון	Ulcer Disease	מותר להתרים אם אין עדות לדמם ו/או כאבים.	טיפול אנטיביוטי בשל חיידק הליקובקטר אינו מונע תרומה
כליות פוליציסטיות	Polycystic Kidney Disease	מותר להתרים אם תפקודי כליות תקינים והתורם לא מטופל	
כריתת טחול	Splenectomy	מותר להתרים אם הכריתה בעקבות חבלה/ תאונה	
כריתת כליה	Nephrectomy	מותר להתרים לאחר 6 חודשים.	אם סיבת הניתוח אינה פוסלת מתרומה
כריתת קיבה	Gastrectomy	אסור להתרים	
לויקמיה	Leukemia	אסור להתרים	
לחץ דם	Blood pressure	"סיסטולי - בין  180-100מ""מ כספית, דיאסטולי - בין 60-100 מ""מ כספית"	חובה להתייחס לטיפול התרופתי
לידה	Delivery	מותר להתרים 6 חודשים לאחר הלידה	במצבים מיוחדים ניתן לקצר את התקופה באישור סמכות רפואית ובתנאי שעומדים בקריטריונים של תורמים רגילים
ליכן פלנוס	Lichen Planus	מותר להתרים לאחר העלמות הנגעים	
לימפאדמה	Lymphedema	לפנות לסמכות רפואית	
לימפומה	Lymphoma	אסור להתרים	
ליפומה	Lipoma	מותר להתרים	
מאמץ גופני קשה או עומס פיזיולוגי (אימונים,סאונה)	Extensive physical activity	מותר להתרים	מומלץ לא לבצע פעילות ב- 8 שעות  שלאחר התרומה
מוגבלות, אנשים עם מוגבלות	Disabled donor	לפנות לסמכות רפואית	
מום בכלי דם עורקי-ורידי, מלפורמציה	Arteriovenous Malformation	לפנות לסמכות רפואית	
מומי לב	(Cardiac Defects (VSD, ASD, PDA	מותר להתרים אם מדובר בפגם מולד ותוקן בילדות, התורם אסימפטומטי, ללא טיפול תרופתי, ללא הגבלות בפעילות גופנית	
מונונוקלאוזיס, מחלת הנשיקה	EBV	מותר להתרים 6 חודשים לאחר החלמה	
מחלה דלקתית של האגן	Pelvic Inflammatory Disease	מותר להתרים 3 ימים לאחר סיום טיפול באנטיביוטיקה והחלמה מלאה	
מחלה חמישית	Fifth Disease	מותר להתרים לאחר החלמה מלאה. דחייה ל - 4 שבועות לאחר החשיפה אם התורם לא חלה בעבר	
מחלה חריפה מערכתית של דרכי הנשימה	SARS	מותר להתרים חודש לאחר החלמה	
מחלה פוליציסטית של השחלה, שחלות פוליציסטיות	(Polycystic Ovary Syndrome (Stein-(Leventhal	מותר להתרים	
מחלה פיברוציסטית של השד	Fibrocystic Disease of Breast	מותר להתרים	
מחלות ילדים	Childhood Diseases	מותר להתרים לאחר החלמה מלאה. דחייה ל - 4 שבועות לאחר החשיפה אם התורם לא מחוסן, או שלא חלה בעבר	
מחלות כליה- כללי	Kidney Diseases	מחלת כליה פעילה-אסור להתרים. מותר להתרים אם תפקודי כליות תקנים והתורם לא מטופל. מותר להתרים אם אדם נולד עם כליה אחת / תרם כליה בתנאי שתפקודי כליה תקינים.	
מחלות ממאירות, גידולים ממאירים (סרטן)	Malignancies	"מחלה או היסטוריה של מחלה ממאירה המטולוגית או המושרית ע""י וירוסים - אסור להתרים"	
מחלות ממאירות, גידולים ממאירים (סרטן)	Malignancies	גידולים מקומיים ללא פוטנציאל מטסטטי - יתקבלו לאחר הוצאת הנגע והחלמה מלאה	
מחלות ממאירות, גידולים ממאירים (סרטן)	Malignancies	גידולים אחרים - מותר להתרים 5 שנים לפחות לאחר השלמת הטיפול והחלמה מלאה	
מחלת אדיסון	Addison's Disease	אסור להתרים	
